id_clasificacion;id_clasificacion_dep;descripcion;nivel_clasificacion
179;38;JUGOS;4
180;38;NECTAR;4
181;38;BOING;4
182;38;CERVESA;4
183;38;CONCENTRADOS EN POLVO;4
184;38;CONCENTRADOS LIQUIDOS;4
185;38;ENERGETIZANTES;4
186;38;HIDRATANTE;4
187;38;HIELO;4
188;38;MEXCLADORES;4
189;38;REFRESCOS;4
190;38;TE HELADO;4
191;39;CACAHUATES;4
192;39;CHICHARRON DE CERDO;4
193;39;FRITURAS;4
194;39;NACHOS;4
195;39;PALOMITAS DE MICROONDAS;4
196;39;PAPAS FRITAS;4
197;39;PASTAS;4
198;39;TOSTADAS;4
199;40;AMARANTO;4
200;40;ARROZ;4
201;40;GERMEN DE TRIGO;4
202;40;GRANOLA;4
203;40;LECHE;4
204;40;LINAZA;4
205;40;SALVADO;4
206;40;SOYA DESHIDRATADA;4
207;40;SOYA HIDRATADA;4
208;41;AMARANTO;4
209;41;AVENA PREPARADA;4
210;41;BARRAS ENERGETICAS;4
211;41;CEREAL;4
212;41;CEREAL FIBRAS;4
213;41;GRANOLAS;4
214;41;MULTI INGREDIENTES;4
215;41;TRIGO INFLADO;4
216;42;ANCHO;4
217;42;ARBOL;4
218;42;CASCABEL;4
219;42;CHIPOTLE;4
220;42;GUAJILLO;4
221;42;MORA ROJA;4
222;42;MORITA;4
223;42;MULATO;4
224;42;PASILLA;4
225;42;PULLA;4
226;43;BOMBONES;4
227;43;CACAHUATES;4
228;43;CARAMELO;4
229;43;CHICLES;4
230;43;CHOCOLATES;4
231;43;COLACION;4
232;43;DULCE CREMOSO;4
233;43;ESTUCHE DE CHOCOLATE;4
234;43;ESTUCHE DE DULCES;4
235;43;GOMITAS;4
236;43;MAZAPAN;4
237;43;PALETA DE CARAMELO;4
238;43;PASTILLAS;4
239;43;POLVOS;4
240;43;TAMARINDO;4
241;44;AZUCAR;4
242;44;AZUCAR GLASS;4
243;44;JARABE DE MAPLE;4
244;44;JARABE DE SABORES;4
245;44;MIEL DE ABEJA;4
246;44;MIEL PARA BEBE;4
247;44;PILONCILLO;4
248;44;SUSTITUTOS DE AZUCAR;4
249;45;ABLANDADORES;4
250;45;CONSOME;4
251;45;ESPECIES Y CONDIMENTOS;4
252;45;MOLE;4
253;45;NUEZ;4
254;45;SAL;4
255;45;SAL COMBINADA;4
256;46;ANIS;4
257;46;CANELA;4
258;46;CLAVO;4
259;46;COMINO;4
260;46;CONSOME;4
261;46;MOLE;4
262;46;OREGANO;4
263;46;PIMIENTA;4
264;47;ALMENDRA;4
265;47;AVELLANA;4
266;47;CACAHUATE TOSTADO;4
267;47;CIRUELA PASA;4
268;47;COCO RAYADO;4
269;47;DATIL;4
270;47;FRUTA SECA;4
271;47;JAMAICA;4
272;47;NUEZ;4
273;47;PASITAS;4
274;47;PINON;4
275;47;PISTACHE;4
276;47;TAMARINDO;4
277;48;BASICAS;4
278;48;DULCES;4
279;48;FINAS;4
280;48;INTEGRALES;4
281;48;POPULARES;4
282;49;ARROZ;4
283;49;FRIJOLES;4
284;49;LENTEJAS;4
285;49;MAIZ;4
286;50;GRANOS Y SEMILLAS;4
287;51;BETUN;4
288;51;COLORANTES VEGETALES;4
289;51;COMPLEMENTOS PARA HORNEAR;4
290;51;EXTRACTOS;4
291;51;HARINA DE ARROZ;4
292;51;HARINA PARA PASTEL;4
293;51;HARINA PREPARADA;4
294;51;HOTCAKES;4
295;51;MAIZ;4
296;51;TRIGO;4
297;52;HUEVO;4
298;53;ACEITUNAS;4
299;53;ALCAPARRAS Y ESPARRAGOS;4
300;53;ALIMENTOS PREPARADOS;4
301;53;CARNES Y EMBUTIDOS;4
302;53;CHAMPINONES;4
303;53;CHILE CHIPOTLE;4
304;53;CHILES VERDES;4
305;53;FRIJOLES;4
306;53;PRODUCTOS DEL MAR;4
307;53;VERDURAS Y VEGETALES;4
308;53;FRUTAS;4
309;54;MANTECAS;4
310;55;MARISCOS;4
311;56;CAJETA;4
312;56;CREMA DE CACAHUATE;4
313;56;JALEA;4
314;56;MERMELADA LIGHT;4
315;56;MERMELADAS;4
316;57;EMPANIZADOR;4
317;57;HAMBURGESA Y HOTDOG;4
318;57;PAN DE BARRA;4
319;57;PAN DULCE;4
320;57;PAN TOSTADO;4
321;57;PANADERIA;4
322;57;PASTELILLOS;4
323;57;TORTILLAS;4
324;58;ATE;4
325;58;CHONGOS;4
326;58;CONFITERIA;4
327;58;FLAN;4
328;58;FLAN LIGHT;4
329;58;GELATINA FIBRA;4
330;58;GELATINA LIGHT;4
